Artículo;FP;articulo;Artículo Desc.;Deposito;Sector;Pasillo;Col;Nivel;Secuencia;Posición;Paleta;Lote;Tot.Uni.;Tot.Blts.;Sob.Unid.;U;U/B;Ingreso;Venc.;Est.;Mar.;Proveedor;Descripción Prov.
P82;1;;KLEENEX CLASSIC CUBO;1;100;CO01;7;2;A;CO01 -007-02A;104213;1;37;37;0;B;1;27/09/2019;01/01/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P82;1;;KLEENEX CLASSIC CUBO;1;100;CO01;16;3;A;CO01 -016-03A;;;0;0;0;B;1;/  /;/  /;DL;;10327;ORIEN S.A. - SAN BLAS
P82;1;;KLEENEX CLASSIC CUBO;1;100;CO01;79;3;C;CO01 -079-03C;;;0;0;0;B;1;/  /;/  /;DL;;10327;ORIEN S.A. - SAN BLAS
P1009;1;;PANTENE HIDRO-CAUTERIZACION AMP X1U;1;100;CO03;49;3;A;CO03 -049-03A;;;0;0;0;B;1;/  /;01/11/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P1330;1;;PANTENE MAXPRO CONTROL CAIDA SH x40;1;100;CO03;89;2;C;CO03 -089-02C;104650;1;2;2;0;B;1;01/10/2019;01/01/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P1329;1;;PANTENE MAXPRO CONTROL CAIDA SH X20;1;100;CO03;88;4;A;CO03 -088-04A;105443;1;5;5;0;B;1;16/10/2019;22/02/2022;DO;;10335;
P1328;1;;PANTENE MAXPRO CUIDADO CLASICO AC x;1;100;CO02;82;2;B;CO02 -082-02B;104670;1;48;48;0;B;1;01/10/2019;01/01/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P1325;1;;PANTENE MAXPRO HIDROCAUTERIZACION S;1;100;CO03;71;2;C;CO03 -071-02C;103668;1;1;1;0;B;1;24/09/2019;01/01/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P1013;1;;PANTENE MAXPRO-V LISO EXTREMO AC x2;1;100;CO03;37;2;A;CO03 -037-02A;104271;1;8;8;0;B;1;27/09/2019;01/01/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P449;1;;REXONA MEN CLINICAL DESO.CRx48gr A/;1;100;CO02;61;2;B;CO02 -061-02B;;;0;0;0;B;1;/  /;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P449;1;;REXONA MEN CLINICAL DESO.CRX48GR A/;1;100;CO02;63;2;A;CO02 -063-02A;;;0;0;0;B;1;/  /;01/01/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P211;1;;ST.IVES CORPO.HUMECTANTE DIARIA CR.;1;100;CO01;51;3;A;CO01 -051-03A;;;0;0;0;B;1;/  /;01/05/2021;DO;;10327;ORIEN S.A. - SAN BLAS
P41;1;;DONNA ALGODON x500gr;1;100;CO03;87;1;A;CO03 -087-01A;;;0;0;0;B;1;/  /;01/05/2050;DO;;10327;ORIEN S.A. - SAN BLAS
P43;1;;JOHNSON COTONETES FLEXIBLES env.x10;1;100;CO03;36;4;A;CO03 -036-04A;104950;1;0;0;0;B;1;07/10/2019;01/05/2050;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P49;1;;JOHNSON BABY ACEITE c/ALOE aceite x;1;100;CO03;28;4;A;CO03 -028-04A;104932;1;28;28;0;B;1;07/10/2019;01/07/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P49;1;;JOHNSON BABY ACEITE c/ALOE aceite x;1;100;CO03;44;4;A;CO03 -044-04A;105156;1;48;48;0;B;1;08/10/2019;01/07/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P51;1;;JOHNSON BABY ACEITE PURO aceite x10;1;100;CO03;12;4;A;CO03 -012-04A;104867;1;2;2;0;B;1;08/10/2019;01/06/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P51;1;;JOHNSON BABY ACEITE PURO aceite x10;1;100;CO03;42;4;A;CO03 -042-04A;105138;1;46;46;0;B;1;08/10/2019;01/06/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P52;1;;JOHNSON BABY ACEITE PURO aceite x20;1;100;CO03;24;4;A;CO03 -024-04A;104924;1;4;4;0;B;1;07/10/2019;01/07/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P58;1;;JOHNSON BABY GOTAS DE BRILLO AC x20;1;100;CO03;25;3;A;CO03 -025-03A;104886;1;18;18;0;B;1;07/10/2019;01/06/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P60;1;;JOHNSON BABY GOTAS DE BRILLO SH x40;1;100;CO03;29;3;B;CO03 -029-03B;104876;1;13;13;0;B;1;07/10/2019;01/07/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P65;1;;JOHNSONÿBABYÿRECIANÿNACIDOÿHIDRATAC;1;100;CO03;27;3;A;CO03 -027-03A;103560;1;5;5;0;B;1;23/09/2019;01/09/2020;DO;;10327;ORIEN S.A. - SAN BLAS
P67;1;;JOHNSONÿBABYÿTHÿDESDEÿELÿPRIMERÿDIA;1;100;CO03;19;3;C;CO03 -019-03C;105151;1;0;0;0;B;1;08/10/2019;01/06/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P67;1;;JOHNSONÿBABYÿTHÿDESDEÿELÿPRIMERÿDIA;1;100;CO03;19;3;B;CO03 -019-03B;105151;1;12;12;0;B;1;08/10/2019;01/06/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P67;1;;JOHNSONÿBABYÿTHÿDESDEÿELÿPRIMERÿDIA;1;100;CO03;19;3;A;CO03 -019-03A;;;0;0;0;B;1;/  /;01/04/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P68;1;;JOHNSONÿBABYÿTHÿEXTRAÿCUIDADOÿtoa.h;1;100;CO03;50;4;A;CO03 -050-04A;105091;1;0;0;0;B;1;08/10/2019;01/06/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P68;1;;JOHNSONÿBABYÿTHÿEXTRAÿCUIDADOÿtoa.h;1;100;CO03;52;4;A;CO03 -052-04A;;;0;0;0;B;1;/  /;/  /;DL;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P68;1;;JOHNSONÿBABYÿTHÿEXTRAÿCUIDADOÿtoa.h;1;100;CO03;54;4;A;CO03 -054-04A;;;0;0;0;B;1;/  /;/  /;DL;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P68;1;;JOHNSONÿBABYÿTHÿEXTRAÿCUIDADOÿtoa.h;1;100;CO03;64;4;A;CO03 -064-04A;;;0;0;0;B;1;/  /;/  /;DL;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P68;1;;JOHNSONÿBABYÿTHÿEXTRAÿCUIDADOÿtoa.h;1;100;CO03;68;4;A;CO03 -068-04A;105087;1;6;6;0;B;1;08/10/2019;01/06/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P70;1;;JOHNSONÿCABELLOSÿCLAROSÿACÿx200ml(M;1;100;CO03;22;4;A;CO03 -022-04A;104925;1;29;29;0;B;1;07/10/2019;01/07/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P71;1;;JOHNSONÿCABELLOSÿCLAROSÿc/AGUAÿPURI;1;100;CO03;46;4;A;CO03 -046-04A;105137;1;22;22;0;B;1;08/10/2019;01/07/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P71;1;;JOHNSONÿCABELLOSÿCLAROSÿc/AGUAÿPURI;1;100;CO03;2;4;A;CO03 -002-04A;104868;1;0;0;0;B;1;08/10/2019;01/07/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P72;1;;JOHNSONÿCABELLOSÿCLAROSÿSHÿx200ml(M;1;100;CO03;29;3;C;CO03 -029-03C;104884;1;23;23;0;B;1;07/10/2019;01/07/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P73;1;;JOHNSON GOLD SH x200ml;1;100;CO03;30;4;A;CO03 -030-04A;104929;1;0;0;0;B;1;07/10/2019;01/08/2021;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P77;1;;JOHNSON PROTECTOR MAMARIO caja x12u;1;100;CO03;31;3;A;CO03 -031-03A;104944;1;18;18;0;B;1;07/10/2019;01/06/2022;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
P81;1;;KLEENEX CLASSIC BOX pa_u.x75pa_uelo;1;100;CO01;9;2;A;CO01 -009-02A;;;0;0;0;B;1;/  /;05/08/2023;DO;;10307;JOHNSON Y JOHNSON DE ARGENTINA
