tripli;clave;agente;cliente;idcliente;cuit;pais_codigo;vendedor;pais_procedencia;numero_guia;numero_house;Mode de embarque;Fecha de llegada;Fecha de entrada aduana;nrodespacho;Fecha liberación en la Aduana;Fecha de liberación en otros Organos de Gobierno;Partida Arancelaria utilizada en la importación;Moneda;Otras tajas (IVA, VAT, o otros cobrados em el país);Valor sujeto a impuesto (valor CIF) para esta línea de partida arancelaria;País de fabricación de los productos;Participa de algun programa de Libre Comercio? Caso positivo indicar cual tratado y que SKU tienen benefício;SKU;CountryOfOrigin;ExportCountry
907722;907722209197                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;SA JACOB HOLM INDUSTRIES FRANCE                                                                     ;FRANCIA                                           ;;MLH507143          ;MARITIMO                                          ;17/08/2019;22/08/2019;19001IC04152297A;          ;;56039220110T   ;060;;15755,51;FRANCIA                                           ;                               ;209197                                                                                              ;FR;FR
907857;907857CUCHILLA  #0028154                                                                                      ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;BEST CUTTING DIE COMPANY                                                                            ;ESTADOS UNIDOS                                    ;;ORD-81910544       ;AEREO                                             ;02/08/2019;02/08/2019;19073IC04109071B;          ;;82089000000H   ;DOL;;16287,76;ESTADOS UNIDOS                                    ;                               ;CUCHILLA  #0028154                                                                                  ;US;US
907894;907894224769                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;VAPORJET LTD.                                                                                       ;ISRAEL                                            ;;ZIMUASH415978      ;MARITIMO                                          ;25/07/2019;29/07/2019;19001IC04131208M;          ;;56039220110T   ;DOL;;73505,3;ISRAEL                                            ;                               ;224769                                                                                              ;IL;IL
907964;907964163182                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;RAJ PETRO SPECIALITIES PVT LTD                                                                      ;INDIA                                             ;;AIS0259520         ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04133471Z;          ;;27101991000B   ;DOL;;14381,02;INDIA                                             ;                               ;163182                                                                                              ;IN;IN
908047;908047200820                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;ELSNER ENGINEERING WORKS INC.                                                                       ;ESTADOS UNIDOS                                    ;;PHL-13285515       ;AEREO                                             ;07/08/2019;07/08/2019;19073IC04109775M;          ;;84831090000U   ;DOL;;882,45;ESTADOS UNIDOS                                    ;                               ;200820                                                                                              ;US;US
908054;908054529958                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;CILAG GMBH INTERNATIONAL - NICE PAK                                                                 ;REINO UNIDO                                       ;;GBLAI10027101      ;MARITIMO                                          ;20/08/2019;21/08/2019;19001IC04149753D;          ;;34011190100Q   ;PES;;4195490,994;REINO UNIDO                                       ;                               ;529958                                                                                              ;GB;GB
908054;908054529959                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;CILAG GMBH INTERNATIONAL - NICE PAK                                                                 ;REINO UNIDO                                       ;;GBLAI10027101      ;MARITIMO                                          ;20/08/2019;21/08/2019;19001IC04149753D;          ;;34011190100Q   ;PES;;7546258,25568;REINO UNIDO                                       ;                               ;529959                                                                                              ;GB;GB
908063;908063169433                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;OXITENO S A IND E COM                                                                               ;BRASIL                                            ;;BR966149590        ;TERRESTRE                                         ;01/08/2019;01/08/2019;19042IC05011792A;          ;;34021900900K   ;DOL;;20514,000024;BRASIL                                            ;Participa del Convenio Mercosur;169433                                                                                              ;BR;BR
908065;908065170195                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;3576,4;COLOMBIA                                          ;Participa convenio lista 359/1 ;170195                                                                                              ;CO;CO
908065;908065170197                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;2919,6;COLOMBIA                                          ;Participa convenio lista 359/1 ;170197                                                                                              ;CO;CO
908065;908065170200                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;2919,6;COLOMBIA                                          ;Participa convenio lista 359/1 ;170200                                                                                              ;CO;CO
908065;908065197151                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;895,05;COLOMBIA                                          ;Participa convenio lista 359/1 ;197151                                                                                              ;CO;CO
908065;908065197152                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;PROD. DE ENVASES FARMACEUTICOS A PR                                                                 ;COLOMBIA                                          ;;7510-0924-907.011  ;MARITIMO                                          ;26/07/2019;01/08/2019;19001IC04139249C;          ;;39235000120P   ;DOL;;581,2;COLOMBIA                                          ;Participa convenio lista 359/1 ;197152                                                                                              ;CO;CO
908066;908066186822                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;RHODIA POLIAMIDA E ESPECIALIDADES LTDA                                                              ;BRASIL                                            ;;BR966149604        ;TERRESTRE                                         ;07/08/2019;07/08/2019;19042IC05012167U;          ;;34021190900C   ;DOL;;3840,0;INDIA                                             ;                               ;186822                                                                                              ;IN;BR
908068;908068181979                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;STEPAN COMPANY                                                                                      ;ESTADOS UNIDOS                                    ;;CHI/BAA/D16399     ;MARITIMO                                          ;10/08/2019;14/08/2019;19001IC04142973A;          ;;34029029100K   ;DOL;;8539,44;ESTADOS UNIDOS                                    ;                               ;181979                                                                                              ;US;US
908072;908072215032                                                                                                  ;RUGGERO VACCARI Y ASOC SA;JOHNSON Y JOHNSON DE ARGENTINA SA COM E           ;1521;30500572309.0;AR;GASCOGNE RELEASE & LAMINATE                                                                         ;FRANCIA                                           ;;SUDUR9LEH007818X   ;MARITIMO                                          ;03/08/2019;06/08/2019;19001IC04136991D;          ;;48115910900N   ;DOL;;10583,03232;FRANCIA                                           ;                               ;215032                                                                                              ;FR;FR
