Armado;Entidad;"Cliente.Destino";"Nombre";"FechaAlta";"FechaFin";PCC;"FechaPCC";"Delivery";ID.Cliente;"Estado";"Observación";Ud.Pedidas;Ud.Preparadas
16568;11952;"ML01                ";"MERCADO LIBRE                      ";"02/07/20";"02/07/20";0;"Pendiente de Entrega          ";"1592                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";592;592
16569;11057;"00003001            ";"UGHES DE DE IESO Y DE PALMA        ";"02/07/20";"13/07/20";0;"Pendiente de Entrega          ";"1599                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";48;48
16570;11068;"00037001            ";"PACO GARCIA S.A.                   ";"02/07/20";"07/07/20";0;"Pendiente de Entrega          ";"1600                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";48;48
16571;11106;"00106001            ";"Kadima S.A.                        ";"02/07/20";"06/07/20";0;"Pendiente de Entrega          ";"1601                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";120;120
16572;11116;"01019001            ";"SORIANO GUILLERMO EDUARDO          ";"02/07/20";"13/07/20";0;"Pendiente de Entrega          ";"1602                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";36;36
16573;11150;"05008001            ";"DOMINGO DE GRUTTOLA E HIJOS        ";"02/07/20";"03/07/20";0;"Pendiente de Entrega          ";"1603                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";66;66
16574;11161;"05074001            ";"STEIMBERG NORBERTO CARLOS          ";"02/07/20";"13/07/20";0;"Pendiente de Entrega          ";"1604                ";1034;"PRE";"ENTREGAR DE 11 A 20HS                                                                                                                                                                                                                                          ";12;12
16575;11164;"05078001            ";"BERNALLA RUBEN JOSE                ";"02/07/20";"03/07/20";0;"Pendiente de Entrega          ";"1605                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";18;18
16576;11171;"05114001            ";"VALERA SANDRA PATRICIA             ";"02/07/20";"07/07/20";0;"Pendiente de Entrega          ";"1606                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";19;19
16577;11186;"05162001            ";"HORACIO BRANAS DOMINGO             ";"02/07/20";"03/07/20";0;"Pendiente de Entrega          ";"1607                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";15;15
16578;11189;"05180001            ";"MANUEL MARTIN Y CIA SA             ";"02/07/20";"07/07/20";0;"Pendiente de Entrega          ";"1608                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";42;42
16579;11191;"05184001            ";"YEDID LUIS ELIAS                   ";"02/07/20";"13/07/20";0;"Pendiente de Entrega          ";"1609                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";54;54
16580;11191;"05184001            ";"YEDID LUIS ELIAS                   ";"02/07/20";"13/07/20";0;"Pendiente de Entrega          ";"1610                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";72;72
16581;11199;"05214001            ";"WINOGRAD DEPORTES S.A.             ";"02/07/20";"13/07/20";0;"Pendiente de Entrega          ";"1611                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";48;48
16582;11203;"05234001            ";"JOSE LILIANA E GERONIMO Y ELSA     ";"02/07/20";"03/07/20";0;"Pendiente de Entrega          ";"1612                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";48;48
16583;11869;"05280001            ";"TOYOS CASIMIRO F. TOYOS OMAR E TOYO";"02/07/20";"07/07/20";0;"Pendiente de Entrega          ";"1613                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";96;96
16584;11869;"05280001            ";"TOYOS CASIMIRO F. TOYOS OMAR E TOYO";"02/07/20";"07/07/20";0;"Pendiente de Entrega          ";"1614                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";252;252
16585;11217;"05286001            ";"GARCIA RAUL ALBERTO                ";"02/07/20";"03/07/20";0;"Pendiente de Entrega          ";"1615                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";36;36
16586;11218;"05289001            ";"MOLINELLI EDUARDO DANIEL           ";"02/07/20";"07/07/20";0;"Pendiente de Entrega          ";"1616                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";30;30
16587;11224;"05316001            ";"LONGHI MARCELO HORACIO             ";"02/07/20";"07/07/20";0;"Pendiente de Entrega          ";"1617                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";36;36
16588;11226;"05328001            ";"FERNANDEZ BOLDRINI EDUARDO         ";"02/07/20";"03/07/20";0;"Pendiente de Entrega          ";"1618                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";12;12
16589;11236;"05374001            ";"GARCIA SPORTS S.R.L.               ";"02/07/20";"03/07/20";0;"Pendiente de Entrega          ";"1619                ";1034;"PRE";"                                                                                                                                                                                                                                                               ";236;236
